year,date,opponent
2022,2022-02-26,FC Cincinnati
2022,2022-03-06,Inter Miami CF
2022,2022-03-20,Seattle Sounders FC
2022,2022-04-10,Minnesota United FC
2023,2023-02-25,St. Louis City SC
2023,2023-03-04,CF Montréal
2023,2023-04-15,Vancouver Whitecaps FC
2023,2023-05-13,FC Dallas
2023,2023-05-20,Toronto FC
2023,2023-05-31,Minnesota United FC
2023,2023-06-03,Real Salt Lake
2023,2023-06-21,FC Dallas
2023,2023-06-24,Houston Dynamo FC
2023,2023-07-15,Sporting Kansas City
2023,2023-09-17,Portland Timbers
2023,2023-09-24,LA Galaxy
2023,2023-10-04,D.C. United
2023,2023-10-07,LAFC
